Cluster,Mean NDVI,Mean RedEdge,Pixel Count,Area_km2,Assigned Vegetation Type
0,0.32350584864616394,0.19151480495929718,317929,31.792900000000003,Grassland
1,-0.7440665364265442,0.01790490187704563,3774,0.3774,Water / Non-vegetation
2,0.22486548125743866,0.21610823273658752,278549,27.8549,Sparse / Degraded Grassland
3,0.6414873003959656,0.19402070343494415,75835,7.583500000000001,Mixed Deciduous Forest
4,0.4564565122127533,0.17097719013690948,197825,19.782500000000002,Bamboo / Shrub Vegetation
